tailid,address1,address2,address3,address4,postalcode,city,country
25348,"Rådhuset, Sloghaugveien 13",,,,6030,Langevåg,Norge
25349,Eidsvegen 7,,,,4230,Sand,Norge
25350,Sund senter,,,,5382,Skogsvåg,Norge
25352,Nedre Strandgate 50,,,,6000,Ålesund,Norge
25353,Bårdshaugvegen 1,,,,6650,Surnadal,Norge
25355,Sveiogata 70,,,,5550,Sveio,Norge
25356,Åsgaten 24,,,,3060,Svelvik,Norge
21282,"Storgt. 49, Veritasbygget",,,,9483,Harstad,Norge
21293,Damsveien 1,,,,9800,Vadsø,Norge
21302,Statens Hus,Parkgata 36,,,2821,Gjøvik,Norge
21304,Fylkeshuset,,,,3706,Skien,Norge
21306,"Statens hus, Kaigaten 9",,,,,,
21307,"Fylkeshuset, Strandveien 13",,,,9296,Tromsø,Norge
21308,Julsundveien 8,,,,6404,Molde,Norge
21310,"Storgata 49, Harstad",,,,,,
21323,Kirkegata 2,,,,7600,Levanger,Norge
21326,Havikvegen 8,,,,7800,Namsos,Norge
21327,Moloveien 12,,,,8002,Bodø,Norge
21341,St. Olavsgate 70,,,,9480,Harstad,Norge
21344,Strandveien 40,,,,7734,Steinkjer,Norge
21348,Gårdsalleen 2,,,,8401,Sortland,Norge
21351,Dr. Palmstrøms vei 15,,,,9915,Kirkenes,Norge
21354,Sogningen storsenter (Postbygget),Hovevegen 4,,,6863,Leikanger,Norge
21363,Julsundvegen 9,,,,6404,Molde,Norge
21371,Tysevegen 64,,,,5416,Stord,Norge
21374,Sjukehusvegen 16,,,,5700,Voss,Norge
21375,Bårdshaugvegen 1,,,,6650,Surnadal,Norge
21376,Gamle Vievegen 14,,,,6800,Førde,Norge
21382,Åsehaugen 1,,,,6026,Ålesund,Norge
21410,"Statens hus, Kaigaten 9",,,,5020,Bergen,Norge
21418,Armauer Hansens vei 20,,,,4011,Stavanger,Norge
21421,Jonas Lies vei 65,,,,5021,Bergen,Norge
21422,Fylkeshuset,Tordenskjolds gate 65,,,4605,KRISTIANSAND S,Norge
21423,Halfdan Wilhelmsens allé 17,,,,3117,Tønsberg,Norge
21425,Gartnerveien 4,,,,4095,Stavanger,Norge
21433,Fitnodatgeaidnu 12,,,,9730,Kárásjohka - Karasjok,Norge
21435,Ishavssenteret,,,,9820,VARANGERBOTN,Norge
21437,Rådhussvingen 1,,,,9917,KIRKENES,Norge
22475,Olav Kyrres plass 1,,,,0244,Oslo,Norge
22476,Josefines gate 37,,,,0244,Oslo,Norge
22477,Parkveien 51 A,,,,0244,Oslo,Norge
22479,Drammensveien 69,,,,0244,Oslo,Norge
21769,Jordeshagen,,,,3540,Nesbyen,Norge
21774,Torvveien 20,,,,1372,ASKER,Norge
21777,Grønland 36,,,,3001,DRAMMEN,Norge
21781,Katrineåsveien 20,,,,3440,RØYKEN,Norge
21784,Negardsvegen 1 ,,,,2270,FLISA,Norge
21786,"Parkgården, Nygata 22",,,,2380,Brumunddal,Norge
21789,Storgata 35,,,,2335,Stange,Norge
21790,Elvarheimgata 10 ,,,,2401,ELVERUM,Norge
21791,Alvdal,,,,2560,ALVDAL,Norge
21792,Kommunehuset,,,,2440,ENGERDAL,Norge
21793,"Kommunehuset, Bergset",,,,2485,RENDALEN,Norge
21795,Kommunehuset,,,,2540,TOLGA,Norge
21796,Storvegen 3,,,,2420,TRYSIL,Norge
20700,Storehagen 1B,,,,6800,Førde,Norge
20701,Parkvegen 5,,,,5851,Sogndal,Norge
20707,Langelandsveien 17,,,,6003,Ålesund,Norge
20709,Strandgata 17 ,,,,2815,Gjøvik,Norge
20711,Storgata 21,,,,2670,Otta,Norge
20721,Storgata 11,,,,3502,Hønefoss,Norge
20723,Dyrmyrgata 47,,,,3611,Kongsberg,Norge
20727,Kjelleveien 21,,,,3125,Tønsberg,Norge
20729,Holmbrua 2,,,,3211,Sandefjord,Norge
44822,Trondheimsveien 80,,,,,,
20745,Idrettsveien 7,,,,1400,Ski,Norge
20749,Brygga 11 (Tjuvholmen),,,,2304,Hamar,Norge
20755,Aumliveien 4C,,,,2501,Tynset,Norge
20762,Veiberggata 2A,,,,2050,Jessheim,Norge
22180,Varbergveien 19,Egersund,,,4370,Egersund,Norge
22182,"Gate 1, nr 10",Måløy,,,6700,Måløy,Norge
22188,Bergebygget,Hitra,,,7260,Sistranda,Norge
38009,Ringeriksveien 77,,,,,,
